festivalName,youtubeVideoId
Terminal V,ThD7aPqLrhk
Tomorrowland,ryIz5jiT6Pc
Tomorrowland Winter,1zcTFxuG-II
Ultra Europe,Ku0TR4rvYTk
Creamfields,7R2Fg_MbqgE
Boomtown Fair,ZW6cTCHH_88
Sziget,nZKfwacsmV8
EXIT Festival,oPk-adjHvw8
Untold Festival,__RQiydhS84
Parookaville,JjZs8Do2HgQ
Primavera Sound,xb-D6MUPpFA
Download Festival,cKd9eLsvT2w
Awakenings,3ptoyj1kxYU
Dekmantel,W6xggzHJdhU
Sonar Barcelona,OSe44yv4iU8
Defected Croatia,pRJj3e_6aY8
EDC Las Vegas,ewkMArBtG7E
Movement Detroit,Dx-XWvQmz-A
Kappa FuturFestival,yWljDkwGHNc
Latitude Festival,p_2DWp0tBuQ
Dimensions Festival,3KKmcyERj34
Hospitality in Park,-jn-teXLzn8
Mystic Garden,Xva1gxyubKQ
Sea Star Festival,fLhSC79yAn8
Defqon.1,XG1JsGvgj9U
Balaton Sound,MIrErCSoeNk
Parklife,sS71eDMW2Xc
Lovebox,NO_VIDEO
SW4,NO_VIDEO
We Are FSTVL,NO_VIDEO
Junction 2,NO_VIDEO
Lost Village,fcNBABzVzJk
Green Man,XjfR_-1VGu0
Shambala,YSIGKjD-YE4
Ozora,UO8lWPwHc-4
Outlook Festival,FBK_pfzKszI
Nozstock,wyW9Kps3IeM
Bluedot,NO_VIDEO
Forbidden Forest,vDthbawo-ik
Cross The Tracks,y8iDKmpDWaw
